timestamp,electrode,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
1713493258645.125,3,0,-5.37109375,1.953125,46.38671875,-233.88671875,255.859375,-873.53515625,418.45703125,-837.40234375,-983.88671875,133.30078125,-893.06640625
1713493258645.125,2,-0.48828125,-0.9765625,3.41796875,-3.90625,24.4140625,141.6015625,208.984375,145.01953125,32.71484375,35.15625,144.04296875,199.21875
1713493258645.125,0,0,-0.9765625,2.9296875,5.859375,-12.20703125,190.91796875,419.921875,255.37109375,-103.515625,-199.70703125,124.0234375,432.12890625
1713493258645.125,1,-0.48828125,-0.48828125,0.9765625,-2.44140625,8.30078125,31.25,28.3203125,3.90625,-20.5078125,-10.7421875,19.53125,24.90234375
1713493258645.125,4,0,0,-6.8359375,22.4609375,-87.890625,-110.3515625,130.37109375,104.4921875,-66.40625,-298.33984375,-224.609375,205.078125
1713493258692.000,3,510.25390625,-724.12109375,-1000,-34.1796875,-925.78125,643.06640625,-554.6875,-1000,-268.06640625,939.453125,810.05859375,-349.609375
1713493258692.000,2,150.390625,62.01171875,36.62109375,102.05078125,172.36328125,151.3671875,51.7578125,5.859375,81.0546875,191.89453125,184.5703125,56.640625
1713493258692.000,0,308.10546875,-97.65625,-221.6796875,90.8203125,407.2265625,316.40625,-61.03515625,-202.63671875,19.04296875,319.3359375,320.80078125,7.8125
1713493258692.000,1,-3.90625,-38.0859375,-45.8984375,-39.55078125,-24.4140625,-17.08984375,-23.92578125,-18.5546875,6.8359375,6.8359375,-25.390625,-78.61328125
1713493258692.000,4,201.66015625,-240.234375,-464.35546875,-288.57421875,-35.64453125,147.4609375,-86.9140625,-253.41796875,-95.21484375,55.6640625,157.2265625,46.38671875
1713493258738.875,3,-1000,-385.25390625,878.41796875,894.53125,-246.58203125,-1000,-480.95703125,756.8359375,-959.9609375,54.19921875,-1000,-652.34375
1713493258738.875,2,-12.20703125,93.75,196.77734375,179.19921875,90.8203125,30.76171875,79.58984375,158.203125,182.12890625,125.48828125,41.9921875,76.66015625
1713493258738.875,0,-247.0703125,-131.8359375,276.85546875,330.56640625,-40.0390625,-298.33984375,-151.3671875,272.4609375,366.69921875,31.25,-265.625,-151.3671875
1713493258738.875,1,-111.81640625,-112.79296875,-151.85546875,-205.56640625,-266.6015625,-330.56640625,-366.2109375,-397.94921875,-435.546875,-492.1875,-539.0625,-539.0625
1713493258738.875,4,-145.01953125,-327.63671875,-89.35546875,194.82421875,-109.86328125,-503.90625,-401.85546875,126.46484375,270.5078125,-63.96484375,-377.44140625,-546.38671875
1713493258785.750,3,571.77734375,-911.62109375,225.09765625,-992.67578125,-798.33984375,398.92578125,-877.9296875,290.0390625,-949.21875,-926.7578125,210.44921875,-882.8125
1713493258785.750,2,171.875,200.68359375,106.93359375,19.04296875,47.8515625,138.18359375,165.52734375,102.5390625,43.45703125,47.36328125,102.05078125,148.4375
1713493258785.750,0,252.9296875,410.15625,187.5,-167.48046875,-186.03515625,231.4453125,489.74609375,227.05078125,-187.98828125,-194.82421875,194.3359375,451.171875
1713493258785.750,1,-539.55078125,-549.31640625,-580.078125,-585.9375,-559.08203125,-562.01171875,-583.49609375,-577.1484375,-554.19921875,-538.57421875,-520.5078125,-491.2109375
